fips,pollutant,year,pred_wght,state_abbr,lat,lon
32029,pm25,2015,3.47206172817955,NV,39.3893602244389,-119.624142892768
32031,pm25,2015,5.296679714243,NV,39.5355590687862,-119.795470723078
32033,pm25,2015,3.46621679760718,NV,39.2732444067797,-114.862372681954
32510,pm25,2015,4.57669056156602,NV,39.1661365235011,-119.753685675001
36001,pm25,2015,7.18668601639032,NY,42.6789768471157,-73.8130080031821
36003,pm25,2015,7.12151285212275,NY,42.2282478752094,-78.0193165529359
36005,pm25,2015,9.37008895701274,NY,40.8493538069234,-73.8823605739047
36007,pm25,2015,7.21197562293121,NY,42.1213079940179,-75.9342480398804
36009,pm25,2015,7.65023701009749,NY,42.2242669883088,-78.6078139621749
36011,pm25,2015,7.12479416014795,NY,42.9353722315248,-76.5601376190238
36013,pm25,2015,8.14742429598606,NY,42.2462570705311,-79.314690891368
36015,pm25,2015,7.67936914848587,NY,42.118260947878,-76.8130551322751
36017,pm25,2015,6.49044998137766,NY,42.4811956871446,-75.5702585712305
36019,pm25,2015,5.96260755174849,NY,44.7300387054354,-73.5453223492597
36021,pm25,2015,6.85126821002916,NY,42.2733367978953,-73.6809671548117
36023,pm25,2015,7.10472032775255,NY,42.5961291612616,-76.1454944523269
36025,pm25,2015,6.16379461483952,NY,42.2445351062943,-74.9938182555231
36027,pm25,2015,7.23323538932663,NY,41.6810144288173,-73.8393853852929
36029,pm25,2015,8.8109609744516,NY,42.8894775888971,-78.7925902900853
36031,pm25,2015,5.21695276606553,NY,44.174471983744,-73.6901765913132
36033,pm25,2015,5.77574011124247,NY,44.712837694529,-74.3444959437198
36035,pm25,2015,5.95429685220868,NY,43.0591734940844,-74.3303344168122
36037,pm25,2015,7.94511341933121,NY,42.9996236505268,-78.1730874365419
36039,pm25,2015,6.07588345441986,NY,42.299303163284,-73.9758477458808
36041,pm25,2015,4.47304520678246,NY,43.6120291356493,-74.3852472084367
36043,pm25,2015,6.25393932918985,NY,43.070535618965,-74.9950041817139
36045,pm25,2015,6.52404214361304,NY,44.0191246814478,-75.8965970497896
36047,pm25,2015,9.46112269766838,NY,40.6505235924063,-73.9548052219827
36049,pm25,2015,6.10457995126814,NY,43.7892165725256,-75.4493539114705
36051,pm25,2015,7.46806986191183,NY,42.7663583013472,-77.7641817304605
36053,pm25,2015,6.29704846668119,NY,42.984471343373,-75.7175372770349
36055,pm25,2015,8.25044110134561,NY,43.1615026623443,-77.620022313742
36057,pm25,2015,6.71691794838607,NY,42.9335482865051,-74.3430749815807
36059,pm25,2015,8.30693423441172,NY,40.7165872008284,-73.6022324852262
36061,pm25,2015,9.11068287012895,NY,40.7779587821345,-73.9662907563847
36063,pm25,2015,8.40763619312696,NY,43.1347046080501,-78.8520376109281
36065,pm25,2015,6.60382066609048,NY,43.1474551958889,-75.3591973450046
36067,pm25,2015,7.52117646578563,NY,43.0671884143495,-76.167459988309
36069,pm25,2015,7.38732510381633,NY,42.8993722461573,-77.2601271256636
36071,pm25,2015,7.17748622336131,NY,41.4220358901111,-74.2429977921907
36073,pm25,2015,7.90222764965138,NY,43.2483158384441,-78.2232911410116
36075,pm25,2015,6.68257897796231,NY,43.3918220106626,-76.3131327756349
36077,pm25,2015,6.30122379832635,NY,42.5635302349861,-75.0598977111743
36079,pm25,2015,6.7547879375188,NY,41.4112808935914,-73.7172109106409
36081,pm25,2015,9.26689393328259,NY,40.7212942927447,-73.8334631966691
36083,pm25,2015,6.81872669150531,NY,42.6999927303063,-73.6298319327099
36085,pm25,2015,8.95884294892582,NY,40.5885234153991,-74.1372889870501
36087,pm25,2015,7.86895177087912,NY,41.1276238861422,-74.0190420424978
36089,pm25,2015,6.38212581647967,NY,44.6514566613664,-75.1492638944472
36091,pm25,2015,6.056114399541,NY,43.0087996161325,-73.7857747102779
36093,pm25,2015,7.10336519973889,NY,42.8092850006786,-73.9461792363324
36095,pm25,2015,6.06846976121408,NY,42.6425105407799,-74.4360229472656
36097,pm25,2015,6.52194617565284,NY,42.3878154554871,-76.8691113558306
36099,pm25,2015,7.32055510595444,NY,42.8273534197611,-76.8285627102777
36101,pm25,2015,7.14880502313365,NY,42.2662855581372,-77.3206036407718
36103,pm25,2015,7.76449699361168,NY,40.8219247782502,-73.1135816740885
36105,pm25,2015,6.10682661650354,NY,41.7000862522083,-74.7075453879583
36107,pm25,2015,6.81817627833741,NY,42.1209791823961,-76.2971081447433
36109,pm25,2015,6.62719333553227,NY,42.4602578069001,-76.4774022340593
36111,pm25,2015,6.33438300323848,NY,41.8410655049783,-74.10065123265
36113,pm25,2015,5.6084938933447,NY,43.3969928759493,-73.7147265177226
36115,pm25,2015,6.45638788107441,NY,43.2902570709947,-73.458660386611
36117,pm25,2015,7.35047174615024,NY,43.1437346681312,-77.126674413471
36119,pm25,2015,8.37962341455654,NY,41.0405363939805,-73.8045084870821
36121,pm25,2015,7.57261115431147,NY,42.7257545629225,-78.218867913652
36123,pm25,2015,7.22182334503708,NY,42.6336581978854,-77.0780897940666
39001,pm25,2015,7.98600883677758,OH,38.8483471313485,-83.5170107880911
39003,pm25,2015,9.92197007166302,OH,40.7576781700539,-84.1219132557768
39005,pm25,2015,8.81313532471443,OH,40.8552173413124,-82.2856726302715
39007,pm25,2015,8.7963853195661,OH,41.7953382769934,-80.7675045055519
39009,pm25,2015,8.31046170776904,OH,39.3451283660454,-82.1002844356595
39011,pm25,2015,9.47967562057934,OH,40.5452452305817,-84.269412045964
39013,pm25,2015,9.48908629971591,OH,40.0420954900568,-80.888818046875
39015,pm25,2015,8.26848715827499,OH,38.9481573629755,-83.893021094412
39017,pm25,2015,9.88035173061147,OH,39.4106859025344,-84.5002692464618
39019,pm25,2015,9.3321571705507,OH,40.6083205853794,-81.1148983596893
39021,pm25,2015,8.56034772651321,OH,40.1206853131157,-83.7602822879517
39023,pm25,2015,8.83262786927197,OH,39.9271476646932,-83.8322779213926
39025,pm25,2015,8.67168122064419,OH,39.1034431625989,-84.2125924692065
39027,pm25,2015,8.56421349405328,OH,39.4105496860133,-83.8422952949572
39029,pm25,2015,9.56631524531486,OH,40.7777744716759,-80.7303715469997
39031,pm25,2015,8.90064967046963,OH,40.2908038101948,-81.8651204059511
39033,pm25,2015,9.4029170633108,OH,40.7973769390645,-82.8748116549424
